Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
KEN,1.0741918448113896,-0.5623909175140129,0.37153111520460413,2.732572217149132,0.12767225267709126,-4.587062656547058,0.0
KGZ,4.686325235047595,-0.43228870222699145,-1.748025744690429,3.1212056040347047,0.6415142314140088,-5.942922960927555,0.0
KHM,-2.9766949095526574,4564.208367271641,-10.464676832867404,-4.554667046135908,-1.2026470917599341,-7.247399693219392,0.0
KIR,1.431868407147996,-0.4560528264793385,-2.96133277679671,0.7432148605686306,0.0632826576969503,-5.574484136180513,0.0
KNA,-0.9964988709305955,-0.3719870004491578,-18.18142021962429,-5.197728478063645,-0.2483708268910756,1.4642273646681137,0.0
KOR,-1.7079830494838188,7.855119975839055,-5.389849307217698,-6.489325329321572,-0.3745295904837964,-5.15440153019976,0.0
KWT,-1.8164588573634455,0.19182812456646228,0.15615289617789685,-3.112184491902459,-0.19803320235769473,-4.6772291670426185,0.0
LAO,-0.3465245565456576,7.8038489524439605,-0.29066905754605576,-0.20099479539970044,-0.01859581915601982,-6.358716505920336,0.0
LBN,2.417206956334317,-0.47418723668951346,-1.8716571014414374,2.3677579837763973,0.2784743274520718,-4.5395032286594255,0.0
LBR,5.175253138194047,-0.4466330994431105,-1.3191615594304817,2.4777849551257836,0.8694064349410224,-5.890818527080999,0.0
LBY,-3.9038491568202938,1.7299446041632982,-0.056519726112935764,-2.4937994138521935,-0.33225961392954195,-4.582044608658253,0.0
LCA,-2.036399952773682,-0.40741993930073045,-21.737474079981332,-4.3404245010381315,-0.276197425571445,4.401973867362341,0.0
LKA,0.051015326893133484,10.568001523305464,-9.631178117245076,-3.6120977170305046,-0.1114900280498543,-5.982243375941465,0.0
LSO,0.9368804988168389,4.906487435865673,-7.872520688003393,-0.5873244135440436,-0.33898788223480913,-6.084061463777912,0.0
LTU,-0.2811981157142651,3.320068217382914,-1.7007744603340313,-0.9564366049037987,-0.1797200812353572,-4.201440091992115,0.0
LUX,0.4613116428636488,0.023097547753577943,-2.3541865639498005,-0.22829702575236643,-0.0055043297631618415,-4.2112889072353,0.0
LVA,0.5337650975739905,0.503028244087114,-0.6511654498406405,0.2793472803233499,0.02168945017897439,-4.6447617665675285,0.0
MAC,1.2322800573011605,-0.46435081659222527,-1.6229283994187549,2.785571669994602,0.14007607438586422,-4.3857468779258895,0.0
MAR,0.6527456356995254,-0.6521403323902982,-1.2245565105286516,0.21285843382012892,0.015142788992572598,-4.025054946531492,0.0
MDA,1.397141268252322,-0.16840008274104193,-1.6936567083143617,1.1834804918700481,0.11637433078031112,-4.762875525556776,0.0
MDG,0.008405114463050367,10.866748345042655,-6.303556102505703,-2.3887390201456915,-0.13512619260934722,-5.717411993246646,0.0
MDV,2.4014954128537713,-0.44275607377258464,-3.7766415773017314,3.0136803596864548,0.2823143553305707,-4.849724958637713,0.0
MEX,-2.541385896103332,35.89155257207891,-16.788115222350086,-15.040561431250977,-0.8759642385906097,-1.6418012719897956,0.0
MHL,5.421637893823128,-0.4386983582283823,-2.362752416903613,2.0823330106831683,1.0266479432607944,-5.919604853334725,0.0
MKD,0.8358725966949976,0.5652664005912699,-1.349069262817859,0.349366707383969,-0.026853230033707653,-4.695973161962463,0.0
MLI,-0.2190914789726217,0.3735841439566024,-0.013238744418575532,-0.3795069209089119,-0.025980214373722,-4.777574311568122,0.0
MLT,0.689418480323134,-0.07536756719200971,-1.5508857870633719,0.1951287640495014,0.011764296686789244,-4.481773403452404,0.0
MMR,0.5755157395127108,2.1254114135048674,-1.523655242417965,0.3371338623878728,0.030119902025016465,-5.869819858319447,0.0
MNE,2.108407675275803,-0.4423664242998291,-2.128476308520011,2.0054406098911848,0.217438253887825,-4.656635690759714,0.0
MNG,-8.589277214394574,0.4123568576758347,1.7432632426368722,-5.515873184037523,-0.5329592576738595,-5.330440337415698,0.0
MOZ,1.8691027673971128,-0.3519990328618705,-0.8930847583563661,1.2494612280352424,0.15217109426435282,-5.357682141794617,0.0
MRT,0.10663272394424439,-0.14872095735918534,0.48905047268119617,0.46262892624673313,0.03956101404083423,-4.461013134990665,0.0
MUS,1.5082032152514913,0.554339592649532,-7.197214743606894,0.6696266122692585,0.060483986847681415,-5.209709036802446,0.0
MWI,1.0569103080497744,-0.32651626920376386,-1.6778497201989984,2.185465738446468,0.11174057862415321,-4.788593268714314,0.0
MYS,-4.423704201318158,3.630962320178141,-1.1243389601143683,-2.7224187267882227,-0.6445182108074876,-4.6411113820384315,0.0
NAM,0.8573842568493362,-0.18082301348363322,-0.6561478404620957,0.5530076084022228,0.055216828930526596,-4.94378968547553,0.0
NCL,0.2095776744390987,-0.5793382884925935,-3.2893488901643453,-1.3773379713349576,-0.057478484541306774,-4.980667961101471,0.0
